STOP_ID,STOP_FRISK_TIME,YEAR,MONTH,DAY,STOP_WAS_INITIATED,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,FIREARM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME
7294,22:48:00,2020,September,Sunday,Based on Self Initiated,1,MAKING GRAFFITI,1,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,CALM,19,MALE,BLACK HISPANIC,5.11,150,THN,BRO,BLK,10459,BRONX
7295,20:03:00,2020,September,Friday,Based on Radio Run,1,CPW,5,N,ARREST,N,Y,CPW,Y,MARIJU,Y,Y,N,N,Y,Y,CALM,17,MALE,BLACK HISPANIC,5.6,120,THN,BRO,BLK,10460,BRONX
7296,0:00:00,2020,September,Sunday,Based on Radio Run,1,ASSAULT,2,Y,(null),N,N,(null),N,(null),N,N,(,(,(null),N,ANNOYED,40,MALE,BLACK,5.6, ,THN,ZZZ,BLK,(null),BRONX
7297,23:43:00,2020,September,Thursday,Based on Radio Run,1,ASSAULT,4,Y,(null),N,Y,ASSAULT,N,(null),Y,Y,N,N,(null),Y,COMPLIANT,30,MALE,BLACK,6,160,MED,BRO,BLK,(null),BRONX
7298,18:53:00,2020,September,Sunday,Based on Radio Run,1,BURGLARY,8,Y,(null),N,Y,CRIMINAL TRESPASS,N,(null),Y,Y,N,N,(null),Y,NORMAL,33,MALE,WHITE HISPANIC,5.6,160,MED,BRO,BLK,11219,BROOKLYN
7299,9:45:00,2020,September,Monday,Based on Radio Run,1,ASSAULT,5,N,FOR OF,N,Y,ASSAULT,N,(null),N,Y,N,N,(null),Y,CALM,21,FEMALE,BLACK,6,140,THN,BRO,RED,10031,MANHATTAN
7300,5:35:00,2020,September,Sunday,Based on Radio Run,1,ASSAULT,3,Y,(null),N,Y,ASSAULT,N,(null),Y,Y,N,N,(null),N,UPSET BUT COOPERATIVE,33,MALE,BLACK,6,180,MED,BRO,BLK,10466,BRONX
7301,18:19:00,2020,September,Thursday,Based on Radio Run,1,CPW,1,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,CALM,28,MALE,BLACK,5.9,140,THN,BRO,BLK,10469,BRONX
7302,11:23:00,2020,September,Monday,Based on C/W on Scene,1,PETIT LARCENY,11,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,Y,N,N,(null),N,CALM,31,MALE,WHITE,5.8,180,MED,BLU,BRO,11385,QUEENS
7303,3:45:00,2020,September,Saturday,Based on Self Initiated,5,BURGLARY,10,Y,(null),N,Y,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,N,(null),N,Y,N,N,(null),N,NERVOUS,57,MALE,BLACK,5.9,175,MED,BRO,BLD,10012,MANHATTAN
7304,8:13:00,2020,September,Monday,Based on C/W on Scene,3,ROBBERY,5,Y,(null),N,Y,ROBBERY,N,(null),N,Y,N,N,(null),N,NERVOUS,29,MALE,BLACK,5.9,200,MED,BRO,BLK,10002,MANHATTAN
7305,3:33:00,2020,September,Saturday,Based on Radio Run,1,BURGLARY,55,Y,(null),N,Y,BURGLARY,N,(null),N,Y,N,N,(null),N,INTOXICATED,43,MALE,WHITE,5.5,175,MED,BLU,BRO,11385,QUEENS
7306,16:55:00,2020,September,Saturday,Based on Radio Run,1,CPW,2,Y,(null),N,N,(null),N,(null),N,Y,N,N,(null),Y,CALM,14,MALE,BLACK,5.7,130,THN,BRO,BLK,11414,QUEENS
7307,3:00:00,2020,September,Friday,Based on Self Initiated,1,CPW,5,Y,(null),N,Y,CPW,N,(null),Y,Y,N,N,(null),Y,NORMAL,36,MALE,BLACK,5.1,160,THN,BRO,BRO,10029,MANHATTAN
7308,9:45:00,2020,September,Friday,Based on Radio Run,1,PETIT LARCENY,15,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,NERVOUS,20,MALE,BLACK,5.9,160,THN,BLK,BLK,10025,MANHATTAN
7309,21:00:00,2020,September,Friday,Based on Radio Run,1,ROBBERY,11,Y,(null),N,N,(null),N,(null),N,N,N,N,(null),N,CALM,30,MALE,BLACK,6.1,200,HEA,BLK,BLK,10468,BRONX
7310,17:43:00,2020,September,Saturday,Based on Self Initiated,1,CRIMINAL SALE OF MARIHUANA,8,Y,(null),Y,N,(null),N,(null),N,N,N,N,(null),N,CALM,57,FEMALE,BLACK,5.1,175,HEA,BRO,BRO,10453,BRONX
7311,20:50:00,2020,September,Monday,Based on C/W on Scene,1,ROBBERY,1,Y,(null),N,N,(null),N,(null),N,N,N,(,(null),N,UPSET, ,MALE,BLACK,5.1,200,MED,ZZZ,BLK,11203,BROOKLYN
7312,0:37:00,2020,August,Thursday,Based on Radio Run,1,ROBBERY,7,Y,(null),N,Y,ROBBERY,N,(null),Y,N,Y,Y,(null),N,CALM/NORMAL,34,MALE,BLACK,5.8,160,MED,BLK,BLK,11212,BROOKLYN
7313,10:15:00,2020,September,Saturday,Based on Radio Run,0,BURGLARY,15,Y,(null),N,N,(null),N,(null),N,N,N,N,(null),N,,23,MALE,WHITE HISPANIC,5.1,180,THN,BRO,BLK,11206,BROOKLYN
7314,22:04:00,2020,September,Tuesday,Based on Radio Run,1,BURGLARY,20,Y,(null),Y,N,(null),N,(null),N,N,N,N,(null),N,CALM,51,MALE,WHITE HISPANIC,5.11,180,THN,BRO,BLD,11201,BROOKLYN
7315,22:04:00,2020,September,Tuesday,Based on Radio Run,1,BURGLARY,20,Y,(null),Y,N,(null),N,(null),N,N,N,N,(null),N,CALM,49,FEMALE,WHITE HISPANIC,5.6,150,MED,BRO,RED,11201,BROOKLYN
7316,23:29:00,2020,September,Monday,Based on C/W on Scene,3,ROBBERY,2,N,VERIFI,N,Y,ROBBERY,N,(null),N,Y,N,N,(null),N,CRYING,25,MALE,BLACK,5.6,150,MED,BRO,BLK,10014,MANHATTAN
7317,4:03:00,2020,September,Saturday,Based on C/W on Scene,5,OTHER,57,Y,(null),N,N,(null),N,(null),Y,Y,N,Y,(null),N,UPSET,23,MALE,BLACK,5.7,180,THN,BRO,BLK,10036,MANHATTAN
7318,15:44:00,2020,September,Saturday,Based on Radio Run,1,ROBBERY,3,Y,(null),N,Y,ROBBERY,N,(null),Y,Y,N,(,(null),Y,CALM,28,MALE,BLACK,5.8,140,THN,BRO,BLK,10024,MANHATTAN
7319,18:45:00,2020,September,Tuesday,Based on Self Initiated,1,CPW,1,Y,(null),N,Y,CPW,N,(null),Y,Y,N,N,Y,Y,CALM,26,MALE,BLACK,5.8,170,THN,BRO,BLK,10029,MANHATTAN
7320,23:32:00,2020,September,Friday,Based on Self Initiated,1,CPW,5,Y,(null),N,Y,CPW,N,(null),Y,Y,N,N,Y,Y,REGRETFUL,25,MALE,BLACK,5.9,175,U,BRO,BLK,10029,MANHATTAN
7321,23:25:00,2020,September,Friday,Based on Self Initiated,0,CPW,2,Y,(null),N,Y,CPW,N,(null),Y,Y,(,(,Y,Y,, ,(null),(null), , ,(null),(null),(nu,10029,MANHATTAN
7322,18:30:00,2020,September,Tuesday,Based on Self Initiated,2,ROBBERY,6,Y,(null),N,N,(null),N,(null),N,N,N,N,(null),N,CONFUSED/COMPLIANT,53,MALE,BLACK,5.6,180,THN,BRO,BLK,10035,MANHATTAN
7323,22:38:00,2020,August,Friday,Based on Radio Run,1,CPW,10,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,COMPLIANT,25,MALE,WHITE HISPANIC,5.1,170,THN,ZZZ,BLK,10030,MANHATTAN
7324,20:18:00,2020,September,Saturday,Based on Self Initiated,2,CPW,2,Y,(null),N,Y,CPW,N,(null),Y,Y,N,Y,Y,Y,,19,MALE,BLACK,5.8,150,THN,BLK,BLK,10040,MANHATTAN
7325,2:25:00,2020,September,Sunday,Based on Self Initiated,5,CPW,1,Y,(null),N,Y,CPW,N,(null),Y,Y,N,N,Y,Y,NERVOUS/RELUCTANT,25,MALE,BLACK,6,260,HEA,BLK,BLK,10451,BRONX
7326,19:43:00,2020,September,Tuesday,Based on Radio Run,0,CPW,5,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,UNDERSTANDING, ,MALE,BLACK,5.9,150,THN,ZZZ,XXX,10461,BRONX
